-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-22-39.txt
-----------------------------------
[11:22:51.317] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1270, Hor_Cur=194} 
[11:22:51.340] [LOG]current:50, voltage:29390, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:22:51.418] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1269, Hor_Cur=200} 
[11:22:51.517] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1277, Hor_Cur=197} 
[11:22:51.618] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1268, Hor_Cur=195} 
[11:22:51.717] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1259, Hor_Cur=196} 
[11:22:51.817] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1266, Hor_Cur=190} 
[11:22:51.917] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1266, Hor_Cur=202} 
[11:22:52.017] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1262, Hor_Cur=198} 
[11:22:52.117] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1262, Hor_Cur=196} 
[11:22:52.217] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1260, Hor_Cur=193} 
[11:22:52.317] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1258, Hor_Cur=194} 
[11:22:52.356] [LOG]current:30, voltage:29390, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:22:52.417] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1268, Hor_Cur=201} 
[11:22:52.518] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1266, Hor_Cur=196} 
[11:22:52.617] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1254, Hor_Cur=198} 
[11:22:52.717] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1269, Hor_Cur=200} 
[11:22:52.817] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1272, Hor_Cur=199} 
[11:22:52.917] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1262, Hor_Cur=198} 
[11:22:53.018] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1275, Hor_Cur=205} 
[11:22:53.118] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1261, Hor_Cur=201} 
[11:22:53.218] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1263, Hor_Cur=196} 
[11:22:53.318] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1264, Hor_Cur=199} 
[11:22:53.373] [LOG]current:20, voltage:29390, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:22:53.418] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1270, Hor_Cur=198} 
[11:22:53.518] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1258, Hor_Cur=199} 
[11:22:53.618] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1269, Hor_Cur=198} 
[11:22:53.718] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1276, Hor_Cur=197} 
[11:22:53.818] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1262, Hor_Cur=199} 
[11:22:53.917] {Hor_act_Vel=0.000, Hor_act_Pos=-221.480, Ver_act_Vel=0.000, Ver_act_Pos=192.260, Ver_Cur=1260, Hor_Cur=194} 
