-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-36-06.txt
-----------------------------------
[11:36:16.775] {Hor_act_Vel=-43.850, Hor_act_Pos=-90.569, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1672, Hor_Cur=983} 
[11:36:16.875] {Hor_act_Vel=-39.863, Hor_act_Pos=-94.396, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=845} 
[11:36:16.975] {Hor_act_Vel=-23.918, Hor_act_Pos=-97.266, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1675, Hor_Cur=915} 
[11:36:17.075] {Hor_act_Vel=-15.945, Hor_act_Pos=-99.339, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=815} 
[11:36:17.175] {Hor_act_Vel=0.000, Hor_act_Pos=-100.137, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=63} 
[11:36:17.218] [LOG]current:120, voltage:29370, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:17.275] {Hor_act_Vel=0.000, Hor_act_Pos=-99.977, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1678, Hor_Cur=588} 
[11:36:17.376] {Hor_act_Vel=3.986, Hor_act_Pos=-99.499, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=597} 
[11:36:17.475] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=639} 
[11:36:17.576] {Hor_act_Vel=0.000, Hor_act_Pos=-99.818, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=671} 
[11:36:17.676] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=662} 
[11:36:17.775] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1672, Hor_Cur=648} 
[11:36:17.875] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1679, Hor_Cur=632} 
[11:36:17.975] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=620} 
[11:36:18.075] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1672, Hor_Cur=600} 
[11:36:18.176] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=588} 
[11:36:18.234] [LOG]current:10, voltage:29380, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:18.275] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=588} 
[11:36:18.376] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=574} 
[11:36:18.475] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=559} 
[11:36:18.575] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=545} 
[11:36:18.675] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1677, Hor_Cur=528} 
[11:36:18.776] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1670, Hor_Cur=515} 
[11:36:18.875] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=503} 
[11:36:18.975] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1675, Hor_Cur=488} 
[11:36:19.075] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1664, Hor_Cur=475} 
[11:36:19.175] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1675, Hor_Cur=456} 
[11:36:19.250] [LOG]current:30, voltage:29380, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:19.276] {Hor_act_Vel=0.000, Hor_act_Pos=-99.658, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=445} 
