-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-09-04.txt
-----------------------------------
[11:09:15.565] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-26.167, Ver_act_Pos=13.280, Ver_Cur=1643, Hor_Cur=142} 
[11:09:15.665] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-34.344, Ver_act_Pos=10.140, Ver_Cur=2723, Hor_Cur=139} 
[11:09:15.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-27.802, Ver_act_Pos=7.000, Ver_Cur=1796, Hor_Cur=142} 
[11:09:15.864] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-37.615, Ver_act_Pos=3.860, Ver_Cur=2717, Hor_Cur=146} 
[11:09:15.965] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-31.073, Ver_act_Pos=0.523, Ver_Cur=2118, Hor_Cur=139} 
[11:09:16.065] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-1.635, Ver_act_Pos=-0.393, Ver_Cur=1526, Hor_Cur=139} 
[11:09:16.165] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=3.271, Ver_act_Pos=-0.393, Ver_Cur=917, Hor_Cur=144} 
[11:09:16.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=14.719, Ver_act_Pos=0.523, Ver_Cur=694, Hor_Cur=137} 
[11:09:16.364] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=22.896, Ver_act_Pos=2.290, Ver_Cur=460, Hor_Cur=143} 
[11:09:16.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=31.073, Ver_act_Pos=5.037, Ver_Cur=524, Hor_Cur=135} 
[11:09:16.523] [LOG]current:80, voltage:29360, soc:97, status:discharge, hor_cnt:0, ver_cnt:1759
[11:09:16.565] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=35.979, Ver_act_Pos=8.439, Ver_Cur=201, Hor_Cur=139} 
[11:09:16.665] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=45.792, Ver_act_Pos=12.822, Ver_Cur=156, Hor_Cur=135} 
