-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_13-21-21.txt
-----------------------------------
[13:21:30.730] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=9.812, Ver_act_Pos=138.945, Ver_Cur=1469, Hor_Cur=0} 
[13:21:30.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=26.167, Ver_act_Pos=140.777, Ver_Cur=1319, Hor_Cur=0} 
[13:21:30.930] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=3.271, Ver_act_Pos=141.431, Ver_Cur=1318, Hor_Cur=0} 
[13:21:30.945] [LOG]current:130, voltage:29340, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:31.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=6.542, Ver_act_Pos=141.823, Ver_Cur=1172, Hor_Cur=0} 
[13:21:31.130] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=16.354, Ver_act_Pos=145.552, Ver_Cur=1269, Hor_Cur=0} 
[13:21:31.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=145.814, Ver_Cur=1352, Hor_Cur=0} 
[13:21:31.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=145.814, Ver_Cur=1251, Hor_Cur=0} 
[13:21:31.429] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=145.814, Ver_Cur=1564, Hor_Cur=0} 
[13:21:31.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=145.814, Ver_Cur=1160, Hor_Cur=0} 
[13:21:31.630] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=145.879, Ver_Cur=1501, Hor_Cur=0} 
[13:21:31.730] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=16.354, Ver_act_Pos=147.122, Ver_Cur=1395, Hor_Cur=0} 
[13:21:31.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=149.085, Ver_Cur=1702, Hor_Cur=0} 
[13:21:31.930] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=149.346, Ver_Cur=1667, Hor_Cur=0} 
[13:21:31.961] [LOG]current:120, voltage:29340, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:32.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=149.804, Ver_Cur=1639, Hor_Cur=0} 
[13:21:32.130] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1423, Hor_Cur=0} 
[13:21:32.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1743, Hor_Cur=0} 
[13:21:32.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1153, Hor_Cur=0} 
[13:21:32.430] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1765, Hor_Cur=0} 
[13:21:32.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1157, Hor_Cur=0} 
[13:21:32.630] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1317, Hor_Cur=0} 
[13:21:32.730] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1152, Hor_Cur=0} 
[13:21:32.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1103, Hor_Cur=0} 
[13:21:32.930] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=1130, Hor_Cur=0} 
[13:21:32.977] [LOG]current:120, voltage:29340, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:33.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=244, Hor_Cur=0} 
[13:21:33.131] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=190, Hor_Cur=0} 
[13:21:33.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=149, Hor_Cur=0} 
[13:21:33.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=139, Hor_Cur=0} 
[13:21:33.430] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=147, Hor_Cur=0} 
[13:21:33.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=158, Hor_Cur=0} 
[13:21:33.630] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=165, Hor_Cur=0} 
[13:21:33.730] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=164, Hor_Cur=0} 
[13:21:33.830] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=179, Hor_Cur=0} 
[13:21:33.930] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=173, Hor_Cur=0} 
[13:21:33.993] [LOG]current:120, voltage:29340, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:34.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=168, Hor_Cur=0} 
[13:21:34.130] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=172, Hor_Cur=0} 
[13:21:34.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=160, Hor_Cur=0} 
[13:21:34.330] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=166, Hor_Cur=0} 
[13:21:34.431] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=146, Hor_Cur=0} 
[13:21:34.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=149.804, Ver_Cur=167, Hor_Cur=0} 
